Model,Train R2,Test R2,MAE,MSE
Ridge,0.8743099013606639,0.8805671790733922,4.212648418195618,29.06259155176727
Linear Regression,0.8743172040139593,0.8804332983749564,4.21476314247485,29.09516986671551
Gradient Boosting,0.9050396644022572,0.8726167427459539,4.3014023346183485,30.997238006987978
Lasso,0.8454249925539641,0.8564341512770285,4.62866210581401,34.93508392288993
Random Forest,0.976367620218289,0.853212074842186,4.605524999999999,35.71913884722222
CatBoost,0.9589358676277713,0.8518305378322716,4.608757793199379,36.055319852755574
AdaBoost,0.8548030965125994,0.8484275240443876,4.711777305180098,36.8834037830772
XGBoost,0.9954995444196413,0.8212204901494256,5.103629446029663,43.50391987982302
ElasticNet,0.7961476468120129,0.796141330437906,5.602361371431354,49.60664247736865
Decision Tree,0.9996534669718089,0.7475942966666995,6.23,61.42
SVR,0.7572323360656739,0.6883486754875966,6.445139973534058,75.83673466472902
K-Neighbors Regression,0.698829642221767,0.47561174068704326,8.690999999999999,127.60379999999999
